,Last Name,First Name,Country of Origin,Genre,Date of Birth,Date of Death,age
0,Beethoven,Ludwig,Germany,Classical/ Romantic,1770,1827,57
1,Mozart,Wolfgang,Austria,Classical,1756,1791,35
2,Bach,J.S.,Germany,Baroque,1685,1750,65
3,Tchaikovsky,Pyotr,Russia,Romantic,1840,1893,53
4,Debussy,Claude,France,Impressionist,1862,1918,56
5,Stravinsky,Igor,Russia,Modernist,1882,1971,89
6,Verdi,Giuseppe,Italy,Opera,1813,1901,88
7,Gershwin,George,US,Jazz,1898,1937,39
8,Glass,Philip,US,Minimalist,1937,2025,88
9,Zimmer,Hans,Germany,Film Score,1957,2025,68
